manufacturer,brand,model name,model number,part name,Price,Q-ty TO,Q-ty S1,Sold TO All Time,Sold S1 All Time,Cost,First Recd Date,SKU
Apple,iPhone,6,"A1549,A1586,A1589",Back Camera,89.95,4,6,7,6,7.27,,229767073
Apple,iPhone,6,"A1549,A1586,A1589",Back Housing Gold,129.99,1,1,1,2,38.31,,915322696
Apple,iPhone,6,"A1549,A1586,A1589",Back Housing Gray,129.99,2,2,1,1,38.31,,676030053
Apple,iPhone,6,"A1549,A1586,A1589",Back Housing Silver,129.99,0,0,,2,38.31,,699074601
Apple,iPhone,6,"A1549,A1586,A1589",Battery,,,,,,,,566287356
Apple,iPhone,6,"A1549,A1586,A1589",Front Camera Flex Cable w/Proximity Sensor,89.95,3,3,23,25,3.66,,716277402
Apple,iPhone,6,"A1549,A1586,A1589",Camera Lens,49.95,11,12,7,2,1.92,,313410794
Apple,iPhone,6,"A1549,A1586,A1589",Charging Port Flex Cable (Black) w/ microphone and headphone jack,79.95,6,11,83,45,2.58,8/10/2014,188037606
Apple,iPhone,6,"A1549,A1586,A1589",Earpiece,89.95,4,5,4,14,0.53,8/10/2014,827950294
Apple,iPhone,6,"A1549,A1586,A1589",Home Button BLK FINGERPRINT WILL NOT WORK,89.95,7,8,2,5,1.13,8/10/2014,118225378
Apple,iPhone,6,"A1549,A1586,A1589",Home Button Extension Flex Cable Long,89.95,3,5,,4,1.61,,350775686
Apple,iPhone,6,"A1549,A1586,A1589",Home Button Flex Cable,89.95,0,0,3,2,1.32,8/10/2014,797695441
Apple,iPhone,6,"A1549,A1586,A1589",Home Button WHT FINGERPRINT WILL NOT WORK,89.95,5,6,6,10,1.13,8/10/2014,880569425
Apple,iPhone,6,"A1549,A1586,A1589",Loud Speaker,89.95,2,3,1,3,6.87,8/10/2014,127414409
Apple,iPhone,6,"A1549,A1586,A1589",Power Button Flex,89.95,16,10,1,3,1.59,8/10/2014,899925300
Apple,iPhone,6,"A1549,A1586,A1589",Screen Assembly BLK (prices on 3 pages),99.95,17,31,1320,463,13.74,,664281477
Apple,iPhone,6,"A1549,A1586,A1589",Screen Assembly WhT (prices on 3 pages),99.95,13,26,829,523,13.74,,465432771
Apple,iPhone,6,"A1549,A1586,A1589","Sim card reader (Not tray, slot only)",139.95,2,3,,,0.52,,683527830
Apple,iPhone,6,"A1549,A1586,A1589",Volume button Flex cable,89.95,5,4,,,1.98,,612591672
Apple,iPhone,6,"A1549,A1586,A1589",WiFi/Bluetooth Antenna,79.95,1,2,4,4,0.4,,936626223
Apple,iPhone,6 Plus,"A1522,A1524,A1593",Back Camera,79.95,2,3,4,4,14.12,,223374896
Apple,iPhone,6 Plus,"A1522,A1524,A1593",Back Housing Gold,129.99,2,2,,1,52.84,,463842145
Apple,iPhone,6 Plus,"A1522,A1524,A1593",Back Housing Gray,129.99,1,1,1,2,52.84,,647146422
Apple,iPhone,6 Plus,"A1522,A1524,A1593",Back Housing Silver,129.99,2,2,,,52.84,,326614208
Apple,iPhone,6 Plus,"A1522,A1524,A1593",Battery,,,,,,,,983666988
